run,time,timesteps,X:VCD,X:Glc,X:Lac,X:Titer,F:Glc
0,0,0.0,0.55,45.0,0.0,0.0,0.0
0,1,1.0,1.725243590706548,44.00818832110499,1.4893890276355155,0.054631935984222,0.0
0,2,2.0,4.779557709514695,41.089619392711256,5.872388936544153,1.3115387619153576,12.5
0,3,3.0,10.278396903985591,40.271477959182114,16.487302959088094,15.870868754415769,12.5
0,4,4.0,15.886798849661046,40.08360265960728,35.542541068670715,85.82462132924178,12.5
0,5,5.0,18.56808860821025,35.783073083100874,60.77645020612946,245.22113131575068,12.5
0,6,6.0,18.09914121553566,30.50520114078624,87.48360716285615,468.6161990121605,12.5
0,7,7.0,15.811653106761437,26.667239527470716,112.03369372197058,706.6662889812628,12.5
0,8,8.0,12.920362074537591,25.38947526579263,132.74037277622236,924.7617040198209,12.5
0,9,9.0,10.12355934480673,26.87353617097032,149.2962166512268,1108.2151546375114,12.5
0,10,10.0,7.715657381739518,30.86152280742108,162.08647120182502,1254.8762216427249,0.0
0,11,11.0,5.775454050338361,24.435173148663704,171.74360411928623,1367.8698659109482,0.0
0,12,12.0,4.271029247966722,19.65583262306473,178.9289388673128,1452.6313926162115,0.0
0,13,13.0,3.129192849903025,16.139559349436013,184.21813133919025,1515.1928114319742,0.0
0,14,14.0,2.276240986722191,13.573937168816904,188.07954871982076,1560.8227991954025,0.0
1,0,0.0,0.2744897959183673,40.71428571428571,0.0,0.0,0.0
1,1,1.0,0.8718759717901421,40.21714394195297,0.7466340839906884,0.016378117270096,18.62244897959184
1,2,2.0,2.5892622931573905,39.64110722051189,3.038610628188593,0.2817853246111368,18.62244897959184
1,3,3.0,6.529319297175704,54.09861210475338,9.292550002588277,3.9545876120388153,18.62244897959184
1,4,4.0,12.16030458956326,63.77184208567888,22.727610481228773,32.23116278685053,18.62244897959184
1,5,5.0,15.860577160994604,68.65866882714273,43.346513907917874,126.91409119010493,18.62244897959184
1,6,6.0,15.657797565949172,71.8743731908678,66.47308338844951,287.5105241072385,18.62244897959184
1,7,7.0,12.758719263700112,76.72515218853695,87.1445541759679,464.7957212992849,18.62244897959184
1,8,8.0,8.910175170395563,84.93767476611983,102.76917754164542,614.3811768867938,18.62244897959184
