timesteps,X:VCD,X:Glc,X:Lac,X:Titer,W:Feed
0.0,0.6785714285714286,34.48979591836735,0.0,0.0,0.0
1.0,1.7882418695451865,33.497759773117764,1.69345805704731,0.092797611632703,16.632653061224488
2.0,4.197866164841867,39.18158379968747,5.897022174496003,1.3613322223015707,16.632653061224488
3.0,8.024606484655857,50.62009499710431,14.760391525541584,11.344886505251033,16.632653061224488
4.0,11.644249637655555,58.67865561216076,29.38859302970828,52.28927236583092,16.632653061224488
5.0,12.989020406401975,64.50229474124312,47.82798059583144,140.5961579864852,16.632653061224488
6.0,11.780327631246772,70.31266186967268,66.28877804594478,259.3251210897019,16.632653061224488
7.0,9.032982556876329,77.9143661034886,81.69288657721607,375.5879131278478,16.632653061224488
8.0,5.956851986938314,88.10689900312666,92.67703047605649,466.0614611226992,16.632653061224488
9.0,3.496495271581572,100.73117479331908,99.51314361635391,525.1008308953583,16.632653061224488
10.0,1.9290844755904624,115.08564001033828,103.3982341018014,559.5121702665116,0.0
11.0,1.0384515260949645,125.8969576070251,105.5137608534153,578.501989557713,0.0
12.0,0.5546547313461386,125.23197031699696,106.64771326447794,588.7503117163226,0.0
13.0,0.2952719021768026,124.87737539599864,107.25237808915796,594.2341048016712,0.0
14.0,0.1569168141294896,124.68877246718952,107.57398917080884,597.15618596249,0.0
0.0,0.5153061224489796,32.857142857142854,0.0,0.0,0.0
1.0,1.3283920087753476,31.895276825078454,1.2591174351446812,0.0438814612801809,0.0
2.0,3.138891683299708,29.523755023926796,4.363787969322462,0.6754926172763417,19.081632653061224
3.0,6.312312369758947,43.45365774211284,11.105807850200534,6.144508366864772,19.081632653061224
4.0,10.046362313224048,53.37801483606592,23.08674531626167,32.89209616429462,19.081632653061224
5.0,12.46619056309494,59.70360012988135,39.77379364032567,103.50902716060114,19.081632653061224
6.0,12.598864431782903,64.5923317260211,58.33909249352142,216.84466709892055,19.081632653061224
7.0,10.871896873825465,70.44512271860509,75.64227711825473,346.44671755061927,19.081632653061224
